model,year,price,type,distance,fuel,tax,miles per galoon,size
10,2019.0,47718.74397568762,2,6279.0,0,145.0,32.8,3.0
10,2016.0,29995.0,0,27700.0,0,200.0,47.9,2.1
10,2016.0,30998.0,2,14149.0,0,235.0,42.8,3.0
10,2017.0,28500.0,2,28297.0,0,200.0,47.9,2.1
10,2016.0,28998.0,2,34669.0,0,200.0,47.9,2.1
10,2016.0,24998.0,2,42913.0,0,200.0,47.9,2.1
10,2016.0,27998.0,2,24732.0,0,200.0,47.9,2.1
10,2017.0,28998.0,2,31322.0,0,145.0,42.8,3.0
10,2020.0,47718.74397568762,0,6700.0,0,150.0,32.8,3.0
10,2017.0,28498.0,2,30825.0,0,145.0,47.9,2.1
10,2017.0,31498.0,2,9949.0,0,205.0,47.9,2.1
10,2017.0,30498.0,2,19605.0,0,260.0,42.8,3.0
10,2016.0,28698.0,2,22707.0,0,200.0,47.9,2.1
10,2020.0,47718.74397568762,0,3000.0,0,145.0,36.7,2.0
10,2017.0,29998.0,2,15626.0,0,265.0,42.8,3.0
10,2016.0,30998.0,2,19574.0,0,240.0,42.8,3.0
10,2016.0,24998.0,2,30121.0,0,205.0,47.9,2.1
10,2018.0,30948.0,0,16000.0,0,145.0,47.9,2.1
10,2017.0,34998.0,2,16647.0,0,205.0,47.9,2.1
10,2017.0,30298.0,2,14786.0,0,200.0,47.9,2.1
11,2016.0,37385.0,0,21169.0,0,305.0,37.2,3.0
11,2018.0,46998.0,2,9182.0,0,145.0,37.2,3.0
12,2013.0,15990.0,0,51800.0,0,200.0,44.8,2.1
12,2013.0,15200.0,2,61363.0,0,200.0,44.8,2.1
12,2014.0,15998.0,2,71657.0,0,200.0,44.8,2.1
12,2015.0,21498.0,2,43339.0,0,200.0,39.2,2.1
12,2015.0,21998.0,2,37963.0,0,205.0,39.2,2.1
13,2019.0,46998.0,2,1042.0,0,145.0,52.3,3.0
13,2019.0,47718.74397568762,2,100.0,2,145.0,40.9,3.0
13,2015.0,28998.0,2,16382.0,0,200.0,47.9,3.0
13,2015.0,26498.0,2,34434.0,0,200.0,48.7,3.0
13,2016.0,26498.0,2,36121.0,0,200.0,47.9,3.0
13,2015.0,24498.0,2,28191.0,0,200.0,47.9,3.0
13,2019.0,47718.74397568762,2,375.0,0,145.0,52.3,3.0
13,2015.0,27498.0,2,35236.0,0,200.0,47.9,3.0
